678870,328865,219103,160034,127907,107979,63399,31647,12952,5877,599,
674552,327562,218426,159210,127741,107593,63412,31367,12921,5698,634,
671718,326217,217757,159912,127781,107119,63348,31960,13398,5827,644,
672391,325000,217138,159257,128858,107977,63731,31677,13053,5950,628,
670041,326674,217440,159432,128514,107467,63304,31614,12672,5986,631,
669783,327255,217580,159772,127559,107831,64230,31466,13199,5919,693,
671129,326132,218069,159592,127334,107377,63270,31817,13017,6003,632,
673927,325868,218006,160098,127761,107950,63486,31613,13060,5743,759,
672326,326274,217489,159657,126536,107076,63519,31385,12667,5739,636,
671890,325836,218016,160037,128393,108025,63498,31464,12954,5735,631,
671885,325969,218595,160054,127343,107739,63507,31517,12982,5715,645,
673091,326648,218486,158977,127438,106911,63458,31328,13093,5704,626,
669724,325411,218196,159490,127806,107596,63472,31475,13137,5761,635,
670527,327165,219162,159765,127908,108696,63217,31428,12897,5828,628,
672063,326240,218878,158906,127203,108009,63326,31801,12797,5751,629,
670389,325312,219182,159599,127634,107597,62814,31197,13162,5775,631,
671328,325726,218622,158559,127657,107557,62911,31764,13145,5801,647,
671887,327542,218020,158927,127192,107409,63310,31605,13084,5757,628,
671726,326508,218923,159238,127482,107563,63211,31498,13600,5722,660,
670785,326683,218490,158440,127458,108135,63383,31504,12974,5693,630,
